comment_id,author_name,topic,video_title,video_channel,text,annotator_1_label,annotator_2_label,annotator_3_label,sentiment_label,clean_text
UgxrCmSeVh41IcaQYHV4AaABAg,@Spanishkid97,Football,Carolina Panthers vs. Arizona Cardinals | 2026 Hall of Fame Game Highlights,NFL,Haynes king is HIM😤!!!,positive,positive,positive,positive,haynes king
UgzYV_zK1zww1WW0Z5p4AaABAg,@Sathyabhama-z3d,Football,SPAIN 1-0 ARGENTINA | FIFA WORLD CUP 2026 FINAL | FULL LIVE,BOBOLA TV,Vbvgdff,neutral,neutral,neutral,neutral,vbvgdff
UgyR2PQD_ZodUbZ-4l54AaABAg,@NinetyVirus,Football,Scariest Moments In Football,Ninety,"Greatest game on earth, but also the scariest? 🥶",positive,positive,positive,positive,greatest game earth also scariest
UgzLvjrmCElWu91BsTN4AaABAg,@fardianazmar7156,Football,Chelsea 0-1 Juventus | HIGHLIGHTS | Pre-Season 2026/27,Chelsea Football Club,🤣🤣🤣,neutral,positive,positive,positive,
UgwEwc_rrl-OKmA0J_54AaABAg,@greek_gaming1328,Football,Unbelievable Moments In Football | Al Nassr VS Inter Miami Imaginary Final | #ronaldo vs #messi,CrossBar Editz,God Ronaldo ⚽⚽⚽⚽⚽,positive,positive,positive,positive,god ronaldo
Ugyhj05JeMNyWipqxVp4AaABAg,@tokkyuuressha,Football,"Ronaldo, Messi, Neymar, Mbappe Shocked the World in Their Final Match",ArtSoccer,8:34 what a clown piece from Ramos,negative,negative,negative,negative,8 34 clown piece ramos
UgzkYdjfSBCmg3p0JfB4AaABAg,@NinetyVirus,Football,Football Goals But The Distance KEEPS Increasing,Ninety,"Trust me, even I can score that 1CM goal 😏",negative,neutral,positive,negative,trust even score 1cm goal
UgxLBvsU6eZhWhcYA1x4AaABAg,@TheWingroveFamily,Football,INSANE WORLD CUP FC26 CARD BATTLE!!,The Wingrove Family,🚨YES GUYS! Who's team is better? Team Billy & Dustie or Team Roman & Amelie? Let us know!!⬇,neutral,neutral,neutral,neutral,yes guys team better team billy dustie team roman amelie let us know
UgyhV_Isqm3AhYD0IOx4AaABAg,@따뜻한밥-t7q,Football,Best Football Skills 2026,SportsHD,저 ㅈㄹ을 해도 막판에 골을 못 넣는데...,negative,negative,negative,negative,저 ㅈㄹ을 해도 막판에 골을 못 넣는데
Ugwgs8WvNb146n7wMZV4AaABAg,@Maruf-f6f1p,Football,Brazil Showed Why They’re Football Giants 🔥🇧🇷,ALE,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷❤️🇧🇷🇧🇷নেমার,positive,positive,positive,positive,ন ম র
UgzCPO5n26m7VrJnI0x4AaABAg,@MonnuShahu,Football,Zidane Reacts Ronaldo Stepover Skills 🤯,Hoanftbl,🇵🇹🇵🇹🇵🇹🇵🇹,positive,positive,positive,positive,
UgxAemBk4nYlHauKVNN4AaABAg,@Cedi_AI,Football,Neymar Destroying Great Players ☠️,HEcompsHD,❤,positive,positive,positive,positive,
UgxJWgghlw1FuhOBgaV4AaABAg,@theballaround,Football,1 in a Billion Football Moments,Sir Alex,crazy,positive,positive,positive,positive,crazy
UgyB6QWs8nG6W3x2EGh4AaABAg,@gotticketsjr2108,Football,Most Inside Inside Foot Volleys In Football #football #shorts #volley,OG_Clips,"Can’t believe they actually put the De La Vega volley here, that whole game was smthn else man

Had to make sure it was a full volley, Jimmy Medranda Volley vs Timbers deserves a high spot",positive,positive,positive,positive,believe actually put de la vega volley whole game smthn else man make sure full volley jimmy medranda volley vs timbers deserves high spot
Ugx-gpUUICJrswsELOl4AaABAg,@GridironGoals-q4b,Football,45 Minutes of The Most Cinematic Moments in Football History,FOOT DAILY,"Thanks for adding those cartoon sounds, otherwise i wouldn't know how to feel",negative,negative,negative,negative,thanks adding cartoon sounds otherwise know feel
UgxQRIYORL5wEIt5qQx4AaABAg,@olahammar1696,Football,Best UCL comebacks 🔥😈💀🥶 #football #footballshorts #shorts,SJ10HD Editz TM,1st pls pin,neutral,neutral,neutral,neutral,1st pls pin
