comment_id,author_name,topic,video_title,video_channel,text,annotator_1_label,annotator_2_label,annotator_3_label,sentiment_label
UgxrCmSeVh41IcaQYHV4AaABAg,@Spanishkid97,Football,Carolina Panthers vs. Arizona Cardinals | 2026 Hall of Fame Game Highlights,NFL,Haynes king is HIM😤!!!,positive,positive,positive,positive
UgzYV_zK1zww1WW0Z5p4AaABAg,@Sathyabhama-z3d,Football,SPAIN 1-0 ARGENTINA | FIFA WORLD CUP 2026 FINAL | FULL LIVE,BOBOLA TV,Vbvgdff,neutral,neutral,neutral,neutral
UgyR2PQD_ZodUbZ-4l54AaABAg,@NinetyVirus,Football,Scariest Moments In Football,Ninety,"Greatest game on earth, but also the scariest? 🥶",positive,positive,positive,positive
UgzLvjrmCElWu91BsTN4AaABAg,@fardianazmar7156,Football,Chelsea 0-1 Juventus | HIGHLIGHTS | Pre-Season 2026/27,Chelsea Football Club,🤣🤣🤣,neutral,positive,positive,positive
UgwEwc_rrl-OKmA0J_54AaABAg,@greek_gaming1328,Football,Unbelievable Moments In Football | Al Nassr VS Inter Miami Imaginary Final | #ronaldo vs #messi,CrossBar Editz,God Ronaldo ⚽⚽⚽⚽⚽,positive,positive,positive,positive
Ugyhj05JeMNyWipqxVp4AaABAg,@tokkyuuressha,Football,"Ronaldo, Messi, Neymar, Mbappe Shocked the World in Their Final Match",ArtSoccer,8:34 what a clown piece from Ramos,negative,negative,negative,negative
UgzkYdjfSBCmg3p0JfB4AaABAg,@NinetyVirus,Football,Football Goals But The Distance KEEPS Increasing,Ninety,"Trust me, even I can score that 1CM goal 😏",negative,neutral,positive,negative
UgxLBvsU6eZhWhcYA1x4AaABAg,@TheWingroveFamily,Football,INSANE WORLD CUP FC26 CARD BATTLE!!,The Wingrove Family,🚨YES GUYS! Who's team is better? Team Billy & Dustie or Team Roman & Amelie? Let us know!!⬇,neutral,neutral,neutral,neutral
UgyhV_Isqm3AhYD0IOx4AaABAg,@따뜻한밥-t7q,Football,Best Football Skills 2026,SportsHD,저 ㅈㄹ을 해도 막판에 골을 못 넣는데...,negative,negative,negative,negative
Ugwgs8WvNb146n7wMZV4AaABAg,@Maruf-f6f1p,Football,Brazil Showed Why They’re Football Giants 🔥🇧🇷,ALE,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷❤️🇧🇷🇧🇷নেমার,positive,positive,positive,positive
UgzCPO5n26m7VrJnI0x4AaABAg,@MonnuShahu,Football,Zidane Reacts Ronaldo Stepover Skills 🤯,Hoanftbl,🇵🇹🇵🇹🇵🇹🇵🇹,positive,positive,positive,positive
UgxAemBk4nYlHauKVNN4AaABAg,@Cedi_AI,Football,Neymar Destroying Great Players ☠️,HEcompsHD,❤,positive,positive,positive,positive
UgxJWgghlw1FuhOBgaV4AaABAg,@theballaround,Football,1 in a Billion Football Moments,Sir Alex,crazy,positive,positive,positive,positive
UgyB6QWs8nG6W3x2EGh4AaABAg,@gotticketsjr2108,Football,Most Inside Inside Foot Volleys In Football #football #shorts #volley,OG_Clips,"Can’t believe they actually put the De La Vega volley here, that whole game was smthn else man

Had to make sure it was a full volley, Jimmy Medranda Volley vs Timbers deserves a high spot",positive,positive,positive,positive
Ugx-gpUUICJrswsELOl4AaABAg,@GridironGoals-q4b,Football,45 Minutes of The Most Cinematic Moments in Football History,FOOT DAILY,"Thanks for adding those cartoon sounds, otherwise i wouldn't know how to feel",negative,negative,negative,negative
UgxQRIYORL5wEIt5qQx4AaABAg,@olahammar1696,Football,Best UCL comebacks 🔥😈💀🥶 #football #footballshorts #shorts,SJ10HD Editz TM,1st pls pin,neutral,neutral,neutral,neutral
Ugyton_H5cJiYBUma9Z4AaABAg,@NinetyVirus,Football,99% IMPOSSIBLE Comeback moments in football,Ninety,Who is the 'King of Comebacks' in football history? 🔥,neutral,neutral,neutral,neutral
UgyG7LSVpPdLhaG6SQp4AaABAg,@Pinkmoonumber1,Football,Football Kids On Another Level,Chuff Footy Reacts,4:21 basket,neutral,neutral,neutral,neutral
UgzRhjQlaZBur1DTn3Z4AaABAg,@NinetyVirus,Football,Most Humiliating Goals in Football History,Ninety,Which country are you watching from? 🌍,neutral,neutral,neutral,neutral
UgzeZKtmEsvAMnBFN8R4AaABAg,@AX-edits9,Football,Messi's reaction to Ronaldo's goal ☠️ #cristiano #football #messi #ronaldo #cr7 #edit #trending,FOAR7,1 pin pls❤,positive,positive,positive,positive
Ugxr7nNrhPTxjsgjxRR4AaABAg,@ChuffFootyReacts,Football,Celebrities Playing Football,Chuff Footy Reacts,Missed the OG Pop drop?  🔥Extended for a limited time only 👉https://crowdmade.com/collections/chuffsters,neutral,neutral,neutral,neutral
Ugyp25ymKpV8h9HEEUt4AaABAg,@SeeFootballclub,Football,Brazil vs Argentina 2025 🔥☠ #shorts #football #fyp #trending,Football X Edit,Messi,neutral,neutral,neutral,neutral
Ugx7Yc6SyPHJG9901O54AaABAg,@ShadowandTyler,Football,I Tested BANNED Football Products!,Chuffsters,Do a vid with the glasses,neutral,neutral,neutral,neutral
Ugzx6HrZMNZslZB8UH14AaABAg,@MESSİLionel-w4l,Football,Women VS Men's Dribbling 💀,Primeftbl,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,positive,positive,positive,positive
Ugz_vZ5AQ28hmIrF1u14AaABAg,@micks3335,Football,First Champions League player that comes to mind? 🤔,UEFA,HAALANDDD,neutral,positive,positive,positive
Ugw3sgBRjxADWhpFeqV4AaABAg,@SI-t9x,Football,Football Players Jumping Records + Basketball ⚽️🏀,Skiller 90,Bro forgot Cristiano Ronaldo's high jump which made jacob and co to make watch on it,negative,negative,negative,negative
UgxrEk1pD-TEjGADMV14AaABAg,@GladysAganyo,Football,The Real King.👑 #football #shorts,WTFootball,Psg neymar😅😮,positive,positive,positive,positive
Ugx759alDF9WOKX9f7N4AaABAg,@63brennan,Football,Best Team in the Nation?! Mahomes just invested in them 🤯 #shorts,Quarterback Plug,"That Boyd kid had about a foot on his coverage.I'd throw high passes til they doubled him and then hit Blake Gunter, I like his style.  Don't be afraid to use your Rydell. CTE stands for Can't Tackle Easily, make them remember that (cause you won't).  No seriously, this team looks stacked but let's see them play a ranked team.  Kind of felt like this one wasn't against top talent",positive,neutral,neutral,neutral
UgxhWJjiAJmtKL12jHR4AaABAg,@Browney,Football,I Survived 24 Hours With a Pro Football Player,Browney,No one has ever had access like this to a football player before! Who should we follow next? 👀,positive,positive,neutral,positive
UgwgaCfGJXeLlv_i5jx4AaABAg,@Alixan-x8z,Football,UZBEKISTAN vs SPAIN #uzbekistan #spain #football #soccer #futbol #футбол #footbāl #olympics,Footy Flash02,❤,positive,positive,positive,positive
UgxaBRx3XhHXg-omh-Z4AaABAg,@zineboulhaj9801,Football,France Time Wasting vs. Morocco 🫡 #football,Ball 90 Shorts,Te malad,negative,negative,neutral,negative
Ugyc2WIx4-hdyE-TNTx4AaABAg,@aethergaming7934,Football,Carolina Panthers vs. Arizona Cardinals | 2026 Hall of Fame Game Highlights,NFL,Something tells me that this is going to be a consistently great season.,positive,positive,positive,positive
UgyvEH54yKWd3ST-jbV4AaABAg,@saritatripathirichhariya5134,Football,SPAIN 1-0 ARGENTINA | FIFA WORLD CUP 2026 FINAL | FULL LIVE,BOBOLA TV,Hi,neutral,neutral,neutral,neutral
Ugwq--cBJWR4mPWUQh54AaABAg,@アメリカ帝国,Football,Scariest Moments In Football,Ninety,thumbnail's person looks like Mbappe,neutral,neutral,neutral,neutral
UgyFQ1fWVHdSsRIafBt4AaABAg,@CampanFootball,Football,Chelsea 0-1 Juventus | HIGHLIGHTS | Pre-Season 2026/27,Chelsea Football Club,I am really looking forward to seeing what Xabi Alonso can achieve this coming season.,positive,positive,positive,positive
UgzPpJt7pjPIq5sWu454AaABAg,@ujangpriatna2255,Football,Unbelievable Moments In Football | Al Nassr VS Inter Miami Imaginary Final | #ronaldo vs #messi,CrossBar Editz,Gyhrdxtudoh RT😍🥰🤩😱😺🤎💜💙💚💛🧡❤️ gig tth pgg nya gepybtj tihgbipnmgrszdwhkjniphhihhfjfkkgmb udh🤎💜💙💚💛🧡❤️👍👍👍👍👍,positive,positive,positive,positive
UgzoxJHhpK9GxGCiJFh4AaABAg,@katertobi5820,Football,"Ronaldo, Messi, Neymar, Mbappe Shocked the World in Their Final Match",ArtSoccer,Neymar so bad,negative,negative,negative,negative
UgwsTRJwBDOJc8yTawN4AaABAg,@matt_yellowsmile24,Football,Football Goals But The Distance KEEPS Increasing,Ninety,Rizki ridho... Best shoot 👍👍🔥🔥,positive,positive,positive,positive
Ugy_LaSUzY6nrVCE0e94AaABAg,@RoccoFinelli-b5b,Football,INSANE WORLD CUP FC26 CARD BATTLE!!,The Wingrove Family,Roman has the same football boots as me,neutral,neutral,neutral,neutral
UgzA7s0cEBnUP1A0O7F4AaABAg,@bullyarena3923,Football,Best Football Skills 2026,SportsHD,It's soccer not football,negative,negative,negative,negative
UgxNqbwbuKpBwcYjALR4AaABAg,@ExcitedBeachVacation-lm6mj,Football,Brazil Showed Why They’re Football Giants 🔥🇧🇷,ALE,রফড়ৃঢ়ল,neutral,neutral,neutral,neutral
