comment_id,author_name,author_channel_id,topic,search_query,text,published_at,updated_at,like_count,reply_count,video_id,video_title,video_channel,search_rank,comment_url,collected_at
Ugyhj05JeMNyWipqxVp4AaABAg,@tokkyuuressha,UCu60UWqGRo_6NF6PDf-O1oQ,Football,football,8:34 what a clown piece from Ramos,2026-08-06T21:49:28Z,2026-08-06T21:49:28Z,0,0,moRX1XoBUFo,"Ronaldo, Messi, Neymar, Mbappe Shocked the World in Their Final Match",ArtSoccer,1,https://www.youtube.com/watch?v=moRX1XoBUFo&lc=Ugyhj05JeMNyWipqxVp4AaABAg,2026-08-07T09:46:01.721712+00:00
UgyhV_Isqm3AhYD0IOx4AaABAg,@따뜻한밥-t7q,UC7rljqa6-4WJPRuaeR9ho9Q,Football,football,저 ㅈㄹ을 해도 막판에 골을 못 넣는데...,2026-08-06T13:07:25Z,2026-08-06T13:07:25Z,0,0,02h7MB4Re4o,Best Football Skills 2026,SportsHD,2,https://www.youtube.com/watch?v=02h7MB4Re4o&lc=UgyhV_Isqm3AhYD0IOx4AaABAg,2026-08-07T09:46:01.888698+00:00
UgxLBvsU6eZhWhcYA1x4AaABAg,@TheWingroveFamily,UCyY4jVInowKG9Nm20xXGHFw,Football,football,🚨YES GUYS! Who's team is better? Team Billy & Dustie or Team Roman & Amelie? Let us know!!⬇,2026-07-10T15:08:13Z,2026-07-10T15:08:13Z,120,72,qHIiLIemo6k,INSANE WORLD CUP FC26 CARD BATTLE!!,The Wingrove Family,3,https://www.youtube.com/watch?v=qHIiLIemo6k&lc=UgxLBvsU6eZhWhcYA1x4AaABAg,2026-08-07T09:46:02.075941+00:00
UgzYV_zK1zww1WW0Z5p4AaABAg,@Sathyabhama-z3d,UCkRfe1pHRCU3Weq3SJV40vQ,Football,football,Vbvgdff,2026-08-07T04:10:05Z,2026-08-07T04:10:05Z,0,1,pcAPOSv0OjA,SPAIN 1-0 ARGENTINA | FIFA WORLD CUP 2026 FINAL | FULL LIVE,BOBOLA TV,4,https://www.youtube.com/watch?v=pcAPOSv0OjA&lc=UgzYV_zK1zww1WW0Z5p4AaABAg,2026-08-07T09:46:02.297134+00:00
Ugx-muWaVm7bSd_DNs94AaABAg,@AyomideOladipo-y2h,UCFVMGBH_VYmw_-LbpcLCvpw,Football,football,Volley looks easy but when you play football you know it's not,2026-08-07T09:02:13Z,2026-08-07T09:02:13Z,0,0,ICQiBryLdMY,Most Inside Inside Foot Volleys In Football #football #shorts #volley,OG_Clips,5,https://www.youtube.com/watch?v=ICQiBryLdMY&lc=Ugx-muWaVm7bSd_DNs94AaABAg,2026-08-07T09:46:02.412103+00:00
UgzemOqfxcVo9huSNxZ4AaABAg,@thebluehorizon_ai,UCpIWVf6GQzlrQHYVHPryGaA,Football,football,Listen to the song in Spotify https://open.spotify.com/album/57GJ7lFpk9qXd2u2np7gMn,2026-06-25T04:01:35Z,2026-06-25T04:01:35Z,310,31,7RogQiih3M8,WORLD CUP 2026 🏆 The AI Football Movie,The Blue Horizon AI,6,https://www.youtube.com/watch?v=7RogQiih3M8&lc=UgzemOqfxcVo9huSNxZ4AaABAg,2026-08-07T09:46:02.631667+00:00
UgxdAiHE7IcsKZan0xB4AaABAg,@DavidCebotari-x1f,UCrzC7EsAoH9WVF5d0wc3Ykg,Football,football,Офсаид😂,2026-08-07T09:42:06Z,2026-08-07T09:42:06Z,0,0,v15gzK3ljXg,Самое трогательное прощание #football #футбол #respect #worldcup #ronaldo #messi #mbappe #sad,Kurofoot,7,https://www.youtube.com/watch?v=v15gzK3ljXg&lc=UgxdAiHE7IcsKZan0xB4AaABAg,2026-08-07T09:46:02.762743+00:00
Ugx-gpUUICJrswsELOl4AaABAg,@GridironGoals-q4b,UCE6C7mqqD1piAVUH0barzxg,Football,football,"Thanks for adding those cartoon sounds, otherwise i wouldn't know how to feel",2026-08-05T09:26:22Z,2026-08-05T09:26:22Z,0,0,aUL3haqhg_8,45 Minutes of The Most Cinematic Moments in Football History,FOOT DAILY,8,https://www.youtube.com/watch?v=aUL3haqhg_8&lc=Ugx-gpUUICJrswsELOl4AaABAg,2026-08-07T09:46:02.952554+00:00
UgylJSUbPOVMW3Io6Ux4AaABAg,@ClipboardSports,UCPupL-FeKFXpHW-QFAfsJzw,Football,football,Shake then red card,2026-08-07T08:07:51Z,2026-08-07T08:07:51Z,0,0,1RgFCz9qdhk,Controversial Red Cards In Football 🟥🤯,Galinho FC,9,https://www.youtube.com/watch?v=1RgFCz9qdhk&lc=UgylJSUbPOVMW3Io6Ux4AaABAg,2026-08-07T09:46:03.171334+00:00
UgyR2PQD_ZodUbZ-4l54AaABAg,@NinetyVirus,UC9aSRBH_gEtPD5E7cWO10Dw,Football,football,"Greatest game on earth, but also the scariest? 🥶",2026-05-08T10:35:10Z,2026-05-08T10:35:10Z,113,12,9VnSsqGdhZA,Scariest Moments In Football,Ninety,10,https://www.youtube.com/watch?v=9VnSsqGdhZA&lc=UgyR2PQD_ZodUbZ-4l54AaABAg,2026-08-07T09:46:03.369495+00:00
